"","seqnames","start","end","width","strand"
"1","1",2631,4631,2001,"+"
"2","1",7737,9737,2001,"-"
"3","1",12714,14714,2001,"-"
"4","1",22146,24146,2001,"+"
"5","1",27500,29500,2001,"+"
"6","1",32153,34153,2001,"-"
"7","1",36871,38871,2001,"-"
"8","1",39944,41944,2001,"-"
"9","1",43677,45677,2001,"+"
"10","1",46019,48019,2001,"-"
"11","1",48286,50286,2001,"-"
"12","1",50199,52199,2001,"-"
"13","1",51239,53239,2001,"+"
"14","1",55624,57624,2001,"+"
"15","1",58167,60167,2001,"-"
"16","1",62811,64811,2001,"-"
"17","1",66625,68625,2001,"-"
"18","1",71138,73138,2001,"-"
"19","1",71339,73339,2001,"+"
"20","1",73737,75737,2001,"-"
"21","1",74583,76583,2001,"+"
"22","1",78032,80032,2001,"-"
"23","1",83864,85864,2001,"-"
"24","1",87213,89213,2001,"-"
"25","1",87898,89898,2001,"+"
"26","1",90376,92376,2001,"+"
"27","1",94987,96987,2001,"+"
"28","1",96456,98456,2001,"+"
"29","1",98894,100894,2001,"+"
"30","1",104330,106330,2001,"-"
"31","1",107946,109946,2001,"+"
"32","1",110961,112961,2001,"-"
"33","1",111263,113263,2001,"+"
"34","1",113286,115286,2001,"+"
"35","1",115943,117943,2001,"+"
"36","1",118397,120397,2001,"+"
"37","1",119154,121154,2001,"+"
"38","1",129577,131577,2001,"-"
"39","1",134831,136831,2001,"-"
"40","1",135124,137124,2001,"+"
"41","1",137513,139513,2001,"+"
"42","1",140971,142971,2001,"+"
"43","1",142564,144564,2001,"+"
"44","1",146153,148153,2001,"+"
"45","1",148806,150806,2001,"-"
"46","1",151210,153210,2001,"-"
"47","1",152113,154113,2001,"+"
"48","1",155011,157011,2001,"-"
"49","1",157655,159655,2001,"-"
"50","1",161572,163572,2001,"-"
"51","1",162419,164419,2001,"+"
"52","1",164517,166517,2001,"-"
"53","1",166842,168842,2001,"-"
"54","1",167723,169723,2001,"+"
"55","1",171948,173948,2001,"-"
"56","1",172251,174251,2001,"+"
"57","1",174782,176782,2001,"+"
"58","1",181358,183358,2001,"-"
"59","1",184133,186133,2001,"+"
"60","1",186211,188211,2001,"+"
"61","1",189596,191596,2001,"+"
"62","1",192670,194670,2001,"-"
"63","1",194780,196780,2001,"+"
"64","1",198639,200639,2001,"+"
"65","1",201136,203136,2001,"+"
"66","1",204176,206176,2001,"+"
"67","1",208395,210395,2001,"+"
"68","1",213229,215229,2001,"+"
"69","1",217994,219994,2001,"+"
"70","1",223340,225340,2001,"-"
"71","1",226302,228302,2001,"-"
"72","1",228013,230013,2001,"+"
"73","1",231508,233508,2001,"-"
"74","1",236817,238817,2001,"-"
"75","1",241608,243608,2001,"-"
"76","1",244988,246988,2001,"-"
"77","1",247367,249367,2001,"-"
"78","1",248141,250141,2001,"+"
"79","1",251947,253947,2001,"+"
"80","1",260474,262474,2001,"-"
"81","1",261828,263828,2001,"+"
"82","1",267330,269330,2001,"+"
"83","1",269775,271775,2001,"-"
"84","1",269956,271956,2001,"+"
"85","1",273569,275569,2001,"-"
"86","1",274366,276366,2001,"+"
